Country,Year,PM2.5,PM10,TotalDeaths,PMDeaths,CitiesCount
Albania,2016,21.48,32.385,41.018787963433525,20.81066376804032,2
Australia,2016,6.742631578947369,16.61315789473684,10.586439853479725,9.974549114246544,19
Austria,2016,12.1028125,17.261875,17.812976640233504,15.722648835617465,32
Belgium,2016,12.433829787234044,19.815744680851065,19.27290855359601,17.199824343490864,47
Bosnia and Herzegovina,2016,32.965,43.49,58.97572422446513,34.09491768392757,2
Brazil,2016,14.9,29.8125,30.349578155443645,22.62249598393088,4
Bulgaria,2016,19.228,33.660000000000004,51.77971020509638,39.202049093478,5
Canada,2016,5.608695652173913,12.38391304347826,11.002674780961692,9.397502530791416,23
Chile,2016,28.25344827586207,52.76241379310345,24.02172262772059,20.10518108731192,29
Colombia,2016,17.9,41.36,22.415220772082822,16.63831581682576,1
Croatia,2016,12.027142857142858,18.93428571428572,34.23502573085698,27.12795643692429,7
Cyprus,2016,10.835,29.275,25.96171468056219,23.36870549082525,4
Czechia,2016,18.4388,23.7422,30.791526739212102,27.980942326050425,50
Denmark,2016,10.246666666666668,18.73,19.31916137636146,16.78729836223031,3
Ecuador,2016,14.07,40.75,27.553637367708887,23.622038753349624,2
Estonia,2016,5.374,11.41,15.98226816467727,11.36116080602745,5
Finland,2016,5.871538461538462,12.23153846153846,8.40169621134432,7.544358232611469,13
France,2016,11.6680198019802,18.34920792079208,11.967906775869777,10.916809436920024,101
Germany,2016,12.3201652892562,17.872561983471073,20.104022575465148,17.823529874686166,121
Greece,2016,17.290000000000003,31.01833333333333,25.78565659990388,23.346231463716247,6
Hungary,2016,10.13,20.13,40.53679743524542,28.94797624170629,1
Iceland,2016,6.695,8.907499999999999,9.917058291079096,8.32140821826243,4
Ireland,2016,8.48,14.0475,14.82763004157547,13.366116158963,4
Italy,2016,16.337687861271675,24.464161849710983,17.030851166842936,15.20014539124092,173
Kuwait,2016,35.09166666666667,89.14,34.873159689520804,34.19825417404925,6
Latvia,2016,13.797999999999998,19.234,34.83343819832083,29.97571297742921,5
Lebanon,2016,19.0,55.0,49.96460711016384,47.63390432973328,1
Lithuania,2016,11.041666666666666,22.88,33.548517631413205,31.72327206924174,6
Luxembourg,2016,11.103333333333332,20.113333333333333,16.093345469940886,13.94816114972344,3
Malta,2016,12.51,31.80333333333333,23.36082766367033,21.615067361874136,3
Mexico,2016,22.611666666666668,41.35333333333333,44.73708440571189,29.9876987273906,12
Netherlands,2016,10.840333333333332,18.707,18.586539606771527,16.517179284518257,30
New Zealand,2016,9.108333333333333,16.110833333333332,8.646934412209875,8.273321160515545,12
North Macedonia,2016,40.18,68.83,50.3714707533674,36.18091008449276,1
Norway,2016,6.5295000000000005,13.6735,10.855094877469543,9.12469649460081,20
Peru,2016,27.5,62.245,31.01299296205265,18.306044653026984,6
Poland,2016,22.398028169014083,29.8869014084507,35.09465572067202,30.149071527093472,71
Portugal,2016,7.197692307692307,16.447692307692307,15.180827886051022,12.50344425261671,13
Romania,2016,15.0,23.2,40.79870077511529,29.449898652354296,3
Serbia,2016,22.67,33.33,63.988774383850966,38.18777875193208,1
Slovakia,2016,14.731428571428571,22.717142857142857,35.80706769758997,32.77760613856719,7
Slovenia,2016,17.383333333333333,21.436666666666667,19.738110842518985,16.747235343161723,3
South Africa,2016,22.85375,47.3775,63.01018395907781,47.34459604568104,8
Spain,2016,8.325375,17.525125,14.776496470057172,11.83727323849756,80
Sweden,2016,5.752777777777777,13.095,9.280194026324793,7.913134283995126,18
Switzerland,2016,10.22375,14.673125,11.980382637095683,10.273577037183337,16
Trinidad and Tobago,2016,11.9,25.2,51.57747791657147,50.30691196594137,1
Turkey,2016,23.67533333333333,52.06066666666666,47.881273224413576,44.10186754396268,15
United Kingdom,2016,10.245142857142858,16.430857142857143,17.89133733863719,16.145949176307724,35
